Features,PCA Method,Components,Low/VeryLow,Intermediate,High/VeryHigh
PyRadiomics,KernelPCA,18,0.625,0.5714285714285714,0.375
PyRadiomics,KernelPCA,19,0.5,0.6428571428571428,0.75
PyRadiomics,KernelPCA,20,0.625,0.42857142857142855,0.75
PyRadiomics,KernelPCA,21,0.625,0.42857142857142855,0.75
PyRadiomics,KernelPCA,22,0.625,0.42857142857142855,0.75
PyRadiomics,KernelPCA,23,0.625,0.42857142857142855,0.75
PyRadiomics,KernelPCA,24,0.625,0.42857142857142855,0.75
PyRadiomics,KernelPCA,25,0.625,0.42857142857142855,0.75
PyRadiomics,KernelPCA,26,0.625,0.42857142857142855,0.75
PyRadiomics,KernelPCA,27,0.625,0.42857142857142855,0.75
PyRadiomics,KernelPCA,28,0.625,0.42857142857142855,0.75
PyRadiomics,KernelPCA,29,0.625,0.42857142857142855,0.75
PyRadiomics,KernelPCA,30,0.625,0.42857142857142855,0.75
PyRadiomics,KernelPCA,31,0.625,0.42857142857142855,0.75
PyRadiomics,KernelPCA,32,0.625,0.5,0.75
PyRadiomics,KernelPCA,33,0.625,0.5,0.75
PyRadiomics,KernelPCA,34,0.625,0.5,0.75
PyRadiomics,TruncatedSVD,1,0.375,0.3571428571428571,0.125
PyRadiomics,TruncatedSVD,2,0.25,0.5714285714285714,0.5
PyRadiomics,TruncatedSVD,3,0.5,0.6428571428571428,0.5
PyRadiomics,TruncatedSVD,4,0.625,0.6428571428571428,0.0
PyRadiomics,TruncatedSVD,5,0.75,0.6428571428571428,0.625
PyRadiomics,TruncatedSVD,6,0.875,0.7857142857142857,0.875
PyRadiomics,TruncatedSVD,7,0.625,0.7142857142857143,0.875
PyRadiomics,TruncatedSVD,8,0.5,0.6428571428571428,1.0
PyRadiomics,TruncatedSVD,9,0.625,0.6428571428571428,1.0
PyRadiomics,TruncatedSVD,10,0.625,0.7142857142857143,1.0
PyRadiomics,TruncatedSVD,11,0.5,0.7857142857142857,0.75
PyRadiomics,TruncatedSVD,12,0.5,0.7142857142857143,0.625
PyRadiomics,TruncatedSVD,13,0.625,0.5714285714285714,0.625
PyRadiomics,TruncatedSVD,14,0.625,0.6428571428571428,0.625
PyRadiomics,TruncatedSVD,15,0.625,0.7142857142857143,0.375
PyRadiomics,TruncatedSVD,16,0.625,0.7142857142857143,0.375
PyRadiomics,TruncatedSVD,17,0.625,0.5,0.375
PyRadiomics,TruncatedSVD,18,0.625,0.5714285714285714,0.375
PyRadiomics,TruncatedSVD,19,0.5,0.6428571428571428,0.75
PyRadiomics,TruncatedSVD,20,0.625,0.42857142857142855,0.75
PyRadiomics,TruncatedSVD,21,0.625,0.42857142857142855,0.75
PyRadiomics,TruncatedSVD,22,0.625,0.42857142857142855,0.75
PyRadiomics,TruncatedSVD,23,0.625,0.42857142857142855,0.75
PyRadiomics,TruncatedSVD,24,0.625,0.42857142857142855,0.75
PyRadiomics,TruncatedSVD,25,0.625,0.42857142857142855,0.75
PyRadiomics,TruncatedSVD,26,0.625,0.42857142857142855,0.75
PyRadiomics,TruncatedSVD,27,0.625,0.42857142857142855,0.75
PyRadiomics,TruncatedSVD,28,0.625,0.42857142857142855,0.75
PyRadiomics,TruncatedSVD,29,0.625,0.42857142857142855,0.75
PyRadiomics,TruncatedSVD,30,0.625,0.42857142857142855,0.75
PyRadiomics,TruncatedSVD,31,0.625,0.42857142857142855,0.75
PyRadiomics,TruncatedSVD,32,0.625,0.5,0.75
PyRadiomics,TruncatedSVD,33,0.625,0.5,0.75
PyRadiomics,TruncatedSVD,34,0.625,0.5,0.75
PyRadiomics,IncrementalPCA,1,0.375,0.3571428571428571,0.125
PyRadiomics,IncrementalPCA,2,0.25,0.5714285714285714,0.5
PyRadiomics,IncrementalPCA,3,0.5,0.6428571428571428,0.5
PyRadiomics,IncrementalPCA,4,0.625,0.6428571428571428,0.0
PyRadiomics,IncrementalPCA,5,0.75,0.6428571428571428,0.625
PyRadiomics,IncrementalPCA,6,0.875,0.7857142857142857,0.875
PyRadiomics,IncrementalPCA,7,0.625,0.7142857142857143,0.875
PyRadiomics,IncrementalPCA,8,0.5,0.6428571428571428,1.0
PyRadiomics,IncrementalPCA,9,0.625,0.6428571428571428,1.0
PyRadiomics,IncrementalPCA,10,0.625,0.7142857142857143,1.0
PyRadiomics,IncrementalPCA,11,0.5,0.7857142857142857,0.75
PyRadiomics,IncrementalPCA,12,0.5,0.7142857142857143,0.625
PyRadiomics,IncrementalPCA,13,0.625,0.5714285714285714,0.625
PyRadiomics,IncrementalPCA,14,0.625,0.6428571428571428,0.625
PyRadiomics,IncrementalPCA,15,0.625,0.7142857142857143,0.375
PyRadiomics,IncrementalPCA,16,0.625,0.7142857142857143,0.375
PyRadiomics,IncrementalPCA,17,0.625,0.5,0.375
PyRadiomics,IncrementalPCA,18,0.625,0.5714285714285714,0.375
PyRadiomics,IncrementalPCA,19,0.5,0.6428571428571428,0.75
PyRadiomics,IncrementalPCA,20,0.625,0.42857142857142855,0.75
PyRadiomics,IncrementalPCA,21,0.625,0.42857142857142855,0.75
PyRadiomics,IncrementalPCA,22,0.625,0.42857142857142855,0.75
PyRadiomics,IncrementalPCA,23,0.625,0.42857142857142855,0.75
PyRadiomics,IncrementalPCA,24,0.625,0.42857142857142855,0.75
PyRadiomics,IncrementalPCA,25,0.625,0.42857142857142855,0.75
PyRadiomics,IncrementalPCA,26,0.625,0.42857142857142855,0.75
PyRadiomics,IncrementalPCA,27,0.625,0.42857142857142855,0.75
PyRadiomics,IncrementalPCA,28,0.625,0.42857142857142855,0.75
PyRadiomics,IncrementalPCA,29,0.625,0.42857142857142855,0.75
PyRadiomics,IncrementalPCA,30,0.625,0.42857142857142855,0.75
PyRadiomics,IncrementalPCA,31,0.625,0.42857142857142855,0.75
PyRadiomics,IncrementalPCA,32,0.625,0.5,0.75
PyRadiomics,IncrementalPCA,33,0.625,0.5,0.75
PyRadiomics,IncrementalPCA,34,0.625,0.5,0.75
